Address,Count,Latitude,Longitude
4700 KEELE ST,22836,43.774174,-79.504745
15 MARINE PARADE DR,3416,43.629105,-79.47541
2075 BAYVIEW AVE,3272,43.72358,-79.37927
70 DISTILLERY LANE,3221,43.65002,-79.3577
31 A PARLIAMENT STREET,3215,43.66661,-79.36892
2183 LAKE SHORE BLVD W,3079,43.623425,-79.4788
550 WELLINGTON ST W,2697,43.64284,-79.401794
1265 MILITARY TRL,2452,43.783497,-79.187836
20 EDWARD ST,2452,43.65705,-79.38233
JAMES ST,2292,43.5909,-79.53836
1 CHERRY ST,2248,43.65031,-79.35691
202 JARVIS ST,2207,43.658634,-79.37561
4001 LESLIE ST,2196,43.76923,-79.36256
576 FRONT ST W,2169,43.640915,-79.40111
199 RICHMOND ST W,2053,43.649487,-79.38813
16 BROOKERS LANE,1980,43.626938,-79.4778
18 HENDON AVENUE,1968,43.781578,-79.41682
FRONT ST E,1965,43.65002,-79.369514
241 JARVIS ST,1944,43.657215,-79.37448
20 LOMBARD ST,1942,43.651554,-79.37684
15 MCMURRICH ST,1938,43.673256,-79.38926
160 MARINE PARADE DR,1869,43.62309,-79.47897
WELLINGTON ST W,1789,43.645576,-79.38785
2200 LAKESHORE BLVD W,1770,43.599762,-79.509026
45 ABELL ST,1769,43.641903,-79.42392
