Province,Count
ON,1753493
QC,24661
AB,5810
AZ,4724
BC,3806
NY,3749
NS,3069
MB,2698
PQ,2191
NB,1877
MI,1728
FL,1593
PA,1090
SK,1012
OH,987
NJ,891
IL,885
CA,774
MA,662
NF,625
VA,556
PE,524
MD,493
TX,491
GA,307
CT,264
NC,250
IN,248
MN,222
WA,176
TN,158
MO,157
WI,134
YT,134
XX,132
NH,128
VT,96
AL,94
CO,86
SC,80
WV,73
OR,70
KY,70
RI,66
ME,61
KS,48
NV,47
DE,47
NT,41
IA,36
LA,33
UT,31
OK,28
NE,26
DC,22
AR,22
MT,21
NM,19
MS,16
SD,12
AK,12
ID,9
NU,8
ND,5
HI,3
GO,3
WY,2
VI,1
